CustomerID,FirstName,LastName,DOB,Email,Phone
1,Eve,Jackson,1993-01-12,eve1@example.com,413-427-2965
2,Frank,Miller,1997-09-13,frank2@example.com,944-946-5394
3,Charlie,Harris,1988-12-19,charlie3@example.com,994-245-7978
4,Frank,Johnson,1980-02-06,frank4@example.com,467-118-5779
5,Xander,Martinez,1968-09-02,xander5@example.com,153-680-4436
6,Vince,White,1986-01-22,vince6@example.com,119-111-4792
7,Yara,Lee,2000-01-15,yara7@example.com,204-362-6767
8,Kathy,Thompson,1979-08-04,kathy8@example.com,487-847-7987
9,Xander,Thompson,1982-09-13,xander9@example.com,319-238-4100
10,Alice,Lopez,1975-02-28,alice10@example.com,796-151-2883
11,Rose,Brown,1982-01-19,rose11@example.com,737-261-7655
12,Eve,Harris,1980-12-17,eve12@example.com,986-808-1880
13,Frank,Johnson,1996-10-23,frank13@example.com,136-370-6484
14,Bob,Taylor,1960-03-22,bob14@example.com,386-936-6092
15,Hank,White,1995-06-01,hank15@example.com,702-211-4552
16,Charlie,Miller,1968-02-15,charlie16@example.com,770-160-2580
17,Leo,Lopez,1983-04-05,leo17@example.com,938-948-3626
18,Wendy,Rodriguez,1999-09-20,wendy18@example.com,827-483-4482
19,Oscar,Wilson,1970-08-19,oscar19@example.com,696-323-4607
20,Alice,Lopez,1988-05-05,alice20@example.com,715-193-4112
21,Zara,White,1980-02-10,zara21@example.com,592-736-1160
22,Hank,Davis,1988-08-05,hank22@example.com,988-475-7780
23,Oscar,Thomas,1979-12-08,oscar23@example.com,151-191-6260
24,Hank,Johnson,1993-02-27,hank24@example.com,533-327-9545
25,Leo,Moore,1977-07-16,leo25@example.com,407-774-1309
26,Xander,Davis,1994-12-28,xander26@example.com,422-469-4878
27,Zara,Lopez,1973-10-08,zara27@example.com,334-749-9265
28,Alice,Hernandez,1974-01-26,alice28@example.com,464-279-2476
29,Wendy,Moore,1996-08-04,wendy29@example.com,760-556-1696
30,Ivy,Thomas,1969-11-01,ivy30@example.com,501-902-7804
31,Jack,Brown,1975-05-10,jack31@example.com,231-601-6432
32,Uma,Taylor,1999-11-21,uma32@example.com,946-281-4531
33,Bob,White,1998-05-02,bob33@example.com,186-522-2159
34,Uma,Rodriguez,1998-06-14,uma34@example.com,906-221-7302
35,Sam,Rodriguez,1960-06-21,sam35@example.com,331-516-4161
36,Zara,Thomas,1967-02-06,zara36@example.com,939-886-6057
37,Uma,Martinez,1971-11-03,uma37@example.com,408-460-4408
38,Charlie,Davis,1989-07-12,charlie38@example.com,323-757-1239
39,Quincy,Thompson,1964-10-10,quincy39@example.com,673-228-2537
40,Xander,Lopez,1977-03-12,xander40@example.com,620-738-1899
41,Sam,Thompson,1996-03-11,sam41@example.com,474-529-6674
42,Quincy,Davis,1985-01-19,quincy42@example.com,473-631-4685
43,Xander,Rodriguez,1995-01-16,xander43@example.com,978-857-7879
44,Tina,Miller,1974-04-04,tina44@example.com,319-698-2129
45,Grace,Martin,1997-05-13,grace45@example.com,816-869-1249
46,Uma,Miller,1960-10-17,uma46@example.com,884-211-4628
47,Jack,Hernandez,1976-10-02,jack47@example.com,703-718-6745
48,Paul,Taylor,1977-01-15,paul48@example.com,991-344-9570
49,Yara,Harris,1960-03-02,yara49@example.com,297-990-2233
50,Tina,Moore,1980-12-19,tina50@example.com,804-554-3479
51,Jack,Wilson,1998-03-02,jack51@example.com,279-168-4352
52,Hank,Williams,1980-03-12,hank52@example.com,995-138-3793
53,Nina,Smith,1968-08-02,nina53@example.com,513-183-7552
54,Charlie,Jackson,1963-06-06,charlie54@example.com,105-534-6519
55,Uma,Garcia,1998-05-20,uma55@example.com,459-568-6225
56,Leo,Anderson,1975-07-26,leo56@example.com,113-676-4379
57,Alice,Smith,1970-04-04,alice57@example.com,601-452-7527
58,Mona,Perez,1998-12-06,mona58@example.com,101-916-3000
59,Charlie,Martin,1973-12-14,charlie59@example.com,803-469-5021
60,Nina,Brown,1973-07-01,nina60@example.com,610-258-2367
